year,sector,destination,shock_pct
2026,Auto,CHN,2.6010
2026,ChemPlast,CHN,8.8711
2026,Coal,CHN,13.3990
2026,GrainCrop,CHN,4.9919
2026,LiveMeat,CHN,4.5019
2026,MachEquip,CHN,0.7965
2026,Metals,CHN,1.1049
2026,Mining,CHN,16.9678
2026,OthAgFood,CHN,12.5478
2026,OthManuf,CHN,5.6065
2026,TexApp,CHN,6.7503
2026,TradeTran,CHN,-4.1120
2026,Auto,EU27,0.4268
2026,ChemPlast,EU27,11.0670
2026,Coal,EU27,19.5639
2026,GrainCrop,EU27,7.4761
2026,LiveMeat,EU27,9.1477
2026,MachEquip,EU27,6.4566
2026,Metals,EU27,11.3559
2026,Mining,EU27,17.0631
2026,OthAgFood,EU27,12.2435
2026,OthManuf,EU27,16.6576
2026,TexApp,EU27,8.5803
2026,TradeTran,EU27,-4.4067
2026,Auto,GBR,0.6279
2026,ChemPlast,GBR,10.2287
2026,Coal,GBR,19.8931
2026,GrainCrop,GBR,2.6840
2026,LiveMeat,GBR,16.8908
2026,MachEquip,GBR,6.5932
2026,Metals,GBR,1.0962
2026,Mining,GBR,19.6117
2026,OthAgFood,GBR,10.3217
2026,OthManuf,GBR,11.9685
2026,TexApp,GBR,7.9502
2026,TradeTran,GBR,-4.2434
2026,Auto,ROW,0.3678
2026,ChemPlast,ROW,5.8843
2026,Coal,ROW,20.9726
2026,GrainCrop,ROW,5.2873
2026,LiveMeat,ROW,6.1842
2026,MachEquip,ROW,4.5134
2026,Metals,ROW,5.0278
2026,Mining,ROW,17.8154
2026,OthAgFood,ROW,6.6423
2026,OthManuf,ROW,3.5541
2026,TexApp,ROW,7.6031
2026,TradeTran,ROW,-3.5409
2026,Auto,SACUSADC,0.0062
2026,ChemPlast,SACUSADC,0.2126
2026,Coal,SACUSADC,15.6699
2026,GrainCrop,SACUSADC,0.0969
2026,LiveMeat,SACUSADC,0.0331
2026,MachEquip,SACUSADC,0.1680
2026,Metals,SACUSADC,0.6578
2026,Mining,SACUSADC,10.8125
2026,OthAgFood,SACUSADC,0.2079
2026,OthManuf,SACUSADC,0.0732
2026,TexApp,SACUSADC,0.1426
2026,TradeTran,SACUSADC,-0.9806
2027,Auto,CHN,2.6010
2027,ChemPlast,CHN,8.8711
2027,Coal,CHN,14.9125
2027,GrainCrop,CHN,4.9919
2027,LiveMeat,CHN,4.5019
2027,MachEquip,CHN,0.7965
2027,Metals,CHN,1.1049
2027,Mining,CHN,16.1959
2027,OthAgFood,CHN,12.5478
2027,OthManuf,CHN,5.6065
2027,TexApp,CHN,6.7503
2027,TradeTran,CHN,-5.8030
2027,Auto,EU27,0.4268
2027,ChemPlast,EU27,11.0670
2027,Coal,EU27,21.2251
2027,GrainCrop,EU27,7.4761
2027,LiveMeat,EU27,9.1477
